p 'ɑ l e `ɑː r i u m , p 'ɑ l ʝ `ɑ r ʝ o , p 'a ʎ `i ɛ̯ r , p 'a ʎ j `e r , p 'a ʎ `e , p ɑ j e $pailler.
'ɑ ɡ n̪ `e l l oː s , 'ɑ ŋ n̪ `ɛ l l o s , 'ã ɲ `i ɛ̯ w s , 'ã ɲ ə̯ `a w s , 'a ɲ ə̯ o s , a ɲ o $agneaux. 
s 'ɑ n̪ k t̪ i t̪ `ɑː t̪ e m , s 'ɑ ŋ t̪ e t̪ `ɑ t̪ ɛ , s 'ã j̃ n̪ t̪ ə ð `e θ , s 'ɛ̃ j̃ n̪ t̪ ə t̪ `e , s 'ɛ̃ t̪ ə t̪ `e , s ɛ̃ t̪ ə t̪ e $sainteté. 
m 'ɑ n̪ s i `oː n̪ e m , m 'ɑ s ʝ `o n̪ ɛ , m 'a j z `u n̪ , m 'ɛ z `ũ n̪ , m 'ɛ z `ũ n̪ , m e z ɔ̃ $maison. 
m `o r t̪ e m , m `ɔ r t̪ ɛ , m `ɔ r t̪ , m `ɔ r t̪ , m `ɔ r t̪ , m ɔ ʁ $mort. 
t̪ `o s t̪ u m , t̪ `ɔ s t̪ o , t̪ `ɔ s t̪ , t̪ `oː t̪ , t̪ `oː t̪ , t̪ o $tôt
p `oː n̪ t̪ e m , p `o n̪ t̪ ɛ , p `u n̪ t̪ , p `ũ n̪ t̪ , p `ũː t̪ , p ɔ̃ $pont.
f `o l l eː s , f `ɔ l l e s , f `ɔ w s , f `u s , f `u s , f u $fous.
b `o w e m , b `ɔ β e , b `u e̯ f , b `ø f , b `ø f , b ø f $bœuf.
p `o t̪ e t̪ , p `ɔ t̪ ɛ t̪ , p `u e̯ t̪ , p `ø t̪ , p `ø t̪ , p ø $peut. Verb conjugation
`o k u l u m , `ɔ k l o , `u e̯ ʎ , `ø ʎ , `ø ʎ ,  œ j $œil. 
f `o l i ɑ , f `ɔ l ʝ ɑ , f `u e̯ ʎ ə , f `ø ʎ ə , f `ø ʎ ə , f œ j $feuille. From neuter plural. 
`o k u l oː s , `ɔ k l o s , `u e̯ ʎ t͡s , j `ø s , j `ø s , j ø $yeux. 
n̪ `o k t̪ e m , n̪ `ɔ x t̪ ɛ , n̪ `y j t̪ , n̪ ɥ `i t̪ , n̪ ɥ `i t̪ , n̪ ɥ i $nuit.
h `o d̪ i e , `ɔ ʝ e , `y j , ɥ `i , ɥ `i , ɥ i $hui. 
t̪ 'o r m `e n̪ t̪ u m , t̪ 'ɔ r m `ɛ n̪ t̪ o , t̪ 'o r m `ẽ n̪ t̪ , t̪ 'u r m `ã n̪ t̪ , t̪ 'u r m `ãː t̪ , t̪ u ʁ m ɑ̃ $tourment. 
m 'o r `iː r i , m 'ɔ r `i r e , m 'o r `i r , m 'u r `i r , m 'u r `i r , m u ʁ i ʁ $mourir. Verb. 
d̪ 'u b i t̪ `ɑː r e , d̪ 'o β e t̪ `ɑ r ɛ , d̪ 'o t̪ `e r , d̪ 'u t̪ `e r , d̪ 'u t̪ `e , d̪ u t̪ e $douter. Verb.
n 'oː d̪ `ɑː r e , n 'o d̪ `ɑ r ɛ , n 'o ð `e r , n̪ 'u `e r , n̪ 'u `e , n̪ w e $nouer. Verb. 
f 'o n̪ t̪ `ɑː n̪ ɑ m , f 'o n̪ t̪ `ɑ n̪ ɑ , f 'u n̪ t̪ `ã j̃ n̪ ə , f 'ũ n̪ t̪ `ɛ̃ j̃ n̪ ə , f 'ũ t̪ `ɛː n̪ ə , f ɔ̃ t̪ ɛ n̪ $fontaine. 
f 'u n̪ d̪ `ɑː r e , f 'o n̪ d̪ `ɑ r ɛ , f 'u n̪ d̪ `e r , f 'ũ n̪ d̪ `e r , f 'ũː d̪ `e , f ɔ̃ d̪ e $fonder. Verb.
h 'o n̪ `oː r e m , 'ɔ n̪ `o r ɛ , 'u n̪ `o w r , 'ũ n̪ `ø r , 'ũ n̪ `ø r , ɔ n̪ œ ʁ $honneur. 
d̪ 'oː n̪ `ɑː r e , d̪ 'o n̪ `ɑ r ɛ , d̪ 'u n̪ `e r , d̪ 'ũ n̪ `e r , d̪ 'ũ n̪ `e , d̪ ɔ n̪ e $donner. Verb. 
